# minimal even eigenvector as a function on the centred window log u in [-L/2, L/2], unit L^2(d*u) norm;
# recomputed (multiprecision midpoint inverse iteration on zst's even block); Rayleigh quotient = certified eps
x,N,log_u,xi(u)
50,360,-1.584369317,-1.995987106e-16
50,360,-1.564809202,-1.868323675e-16
50,360,-1.545249087,1.243384739e-16
50,360,-1.525688972,-2.307050999e-16
50,360,-1.506128857,2.793481158e-16
50,360,-1.486568742,-5.981245875e-18
50,360,-1.467008627,-5.212916537e-17
50,360,-1.447448512,-4.564289692e-16
50,360,-1.427888397,6.565698502e-17
50,360,-1.408328282,-2.565376559e-16
50,360,-1.388768167,-2.669970682e-16
50,360,-1.369208052,5.929112414e-17
50,360,-1.349647937,-1.018685917e-16
50,360,-1.330087822,1.679398818e-17
50,360,-1.310527707,1.26723969e-16
50,360,-1.290967592,1.092904552e-15
50,360,-1.271407477,7.267752565e-15
50,360,-1.251847362,3.833055102e-14
50,360,-1.232287247,1.874526754e-13
50,360,-1.212727132,8.485514805e-13
50,360,-1.193167017,3.5819468e-12
50,360,-1.173606902,1.414431033e-11
50,360,-1.154046787,5.242082949e-11
50,360,-1.134486672,1.829013165e-10
50,360,-1.114926557,6.025247951e-10
50,360,-1.095366442,1.879145774e-09
50,360,-1.075806326,5.562753415e-09
50,360,-1.056246211,1.566809289e-08
50,360,-1.036686096,4.208573907e-08
50,360,-1.017125981,1.080408217e-07
50,360,-0.9975658664,2.656233043e-07
50,360,-0.9780057514,6.266342214e-07
50,360,-0.9584456363,1.421123852e-06
50,360,-0.9388855213,3.103692221e-06
50,360,-0.9193254063,6.53844676e-06
50,360,-0.8997652912,1.330772297e-05
50,360,-0.8802051762,2.620691815e-05
50,360,-0.8606450612,5.000677646e-05
50,360,-0.8410849462,9.258269941e-05
50,360,-0.8215248311,0.0001665243225
50,360,-0.8019647161,0.0002913427216
50,360,-0.7824046011,0.0004963815616
50,360,-0.7628444861,0.0008245068651
50,360,-0.743284371,0.001336593819
50,360,-0.723724256,0.002116746756
50,360,-0.704164141,0.003278082481
50,360,-0.6846040259,0.004968784326
50,360,-0.6650439109,0.00737800595
50,360,-0.6454837959,0.01074108512
50,360,-0.6259236809,0.01534343557
50,360,-0.6063635658,0.02152243679
50,360,-0.5868034508,0.02966665184
50,360,-0.5672433358,0.04021178124
50,360,-0.5476832208,0.05363290936
50,360,-0.5281231057,0.07043281337
50,360,-0.5085629907,0.09112636856
50,360,-0.4890028757,0.1162213797
50,360,-0.4694427607,0.1461964673
50,360,-0.4498826456,0.181476917
50,360,-0.4303225306,0.2224096279
50,360,-0.4107624156,0.2692384548
50,360,-0.3912023005,0.3220813109
50,360,-0.3716421855,0.3809103724
50,360,-0.3520820705,0.4455366093
50,360,-0.3325219555,0.5155996633
50,360,-0.3129618404,0.5905638201
50,360,-0.2934017254,0.6697205081
50,360,-0.2738416104,0.7521974068
50,360,-0.2542814954,0.8369739157
50,360,-0.2347213803,0.9229024173
50,360,-0.2151612653,1.008734503
50,360,-0.1956011503,1.093151122
50,360,-0.1760410352,1.174795496
50,360,-0.1564809202,1.252307542
50,360,-0.1369208052,1.324358619
50,360,-0.1173606902,1.389685409
50,360,-0.09780057514,1.447121926
50,360,-0.07824046011,1.495628752
50,360,-0.05868034508,1.534318779
50,360,-0.03912023005,1.562478905
50,360,-0.01956011503,1.579587256
50,360,0.0,1.585325671
50,360,0.01956011503,1.579587256
50,360,0.03912023005,1.562478905
50,360,0.05868034508,1.534318779
50,360,0.07824046011,1.495628752
50,360,0.09780057514,1.447121926
50,360,0.1173606902,1.389685409
50,360,0.1369208052,1.324358619
50,360,0.1564809202,1.252307542
50,360,0.1760410352,1.174795496
50,360,0.1956011503,1.093151122
50,360,0.2151612653,1.008734503
50,360,0.2347213803,0.9229024173
50,360,0.2542814954,0.8369739157
50,360,0.2738416104,0.7521974068
50,360,0.2934017254,0.6697205081
50,360,0.3129618404,0.5905638201
50,360,0.3325219555,0.5155996633
50,360,0.3520820705,0.4455366093
50,360,0.3716421855,0.3809103724
50,360,0.3912023005,0.3220813109
50,360,0.4107624156,0.2692384548
50,360,0.4303225306,0.2224096279
50,360,0.4498826456,0.181476917
50,360,0.4694427607,0.1461964673
50,360,0.4890028757,0.1162213797
50,360,0.5085629907,0.09112636856
50,360,0.5281231057,0.07043281337
50,360,0.5476832208,0.05363290936
