# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
# CONTROL_SPECTRUM object=chi_-4 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=chi_-4 block=E index=1 eigenvalue=[-0.45059417712 +/- 5.16e-12] lower_count=0 upper_count=1 certified=1
SPECTRUM object=chi_-4 block=E index=2 eigenvalue=[0.67452417894 +/- 5.12e-12] lower_count=1 upper_count=2 certified=1
SPECTRUM object=chi_-4 block=E index=3 eigenvalue=[1.25645914985 +/- 6.45e-12] lower_count=2 upper_count=3 certified=1
SPECTRUM object=chi_-4 block=E index=4 eigenvalue=[1.62352891824 +/- 4.12e-12] lower_count=3 upper_count=4 certified=1
SPECTRUM object=chi_-4 block=E index=5 eigenvalue=[1.89164585388 +/- 6.96e-12] lower_count=4 upper_count=5 certified=1
SPECTRUM object=chi_-4 block=E index=6 eigenvalue=[2.10292192131 +/- 4.76e-12] lower_count=5 upper_count=6 certified=1
SPECTRUM object=chi_-4 block=E index=7 eigenvalue=[2.27727833069 +/- 7.85e-12] lower_count=6 upper_count=7 certified=1
SPECTRUM object=chi_-4 block=E index=8 eigenvalue=[2.42571514111 +/- 4.89e-12] lower_count=7 upper_count=8 certified=1
SPECTRUM object=chi_-4 block=E index=9 eigenvalue=[2.55494958211 +/- 8.30e-12] lower_count=8 upper_count=9 certified=1
SPECTRUM object=chi_-4 block=E index=10 eigenvalue=[2.66938534264 +/- 5.06e-12] lower_count=9 upper_count=10 certified=1
SPECTRUM object=chi_-4 block=E index=11 eigenvalue=[2.77206617619 +/- 8.35e-12] lower_count=10 upper_count=11 certified=1
SPECTRUM object=chi_-4 block=E index=12 eigenvalue=[2.86518387337 +/- 5.63e-12] lower_count=11 upper_count=12 certified=1
SPECTRUM object=chi_-4 block=E index=13 eigenvalue=[2.95036922376 +/- 6.13e-12] lower_count=12 upper_count=13 certified=1
SPECTRUM object=chi_-4 block=E index=14 eigenvalue=[3.02886849493 +/- 6.87e-12] lower_count=13 upper_count=14 certified=1
SPECTRUM object=chi_-4 block=E index=15 eigenvalue=[3.10165555417 +/- 4.24e-12] lower_count=14 upper_count=15 certified=1
SPECTRUM object=chi_-4 block=E index=16 eigenvalue=[3.16950588915 +/- 5.55e-12] lower_count=15 upper_count=16 certified=1
SPECTRUM object=chi_-4 block=E index=17 eigenvalue=[3.23304707932 +/- 8.62e-12] lower_count=16 upper_count=17 certified=1
SPECTRUM object=chi_-4 block=E index=18 eigenvalue=[3.29279417272 +/- 5.68e-12] lower_count=17 upper_count=18 certified=1
SPECTRUM object=chi_-4 block=E index=19 eigenvalue=[3.34917508070 +/- 6.50e-12] lower_count=18 upper_count=19 certified=1
SPECTRUM object=chi_-4 block=E index=20 eigenvalue=[3.40254919071 +/- 4.78e-12] lower_count=19 upper_count=20 certified=1
SPECTRUM object=chi_-4 block=E index=21 eigenvalue=[3.45322126058 +/- 5.63e-12] lower_count=20 upper_count=21 certified=1
SPECTRUM object=chi_-4 block=E index=22 eigenvalue=[3.50145196088 +/- 3.92e-12] lower_count=21 upper_count=22 certified=1
SPECTRUM object=chi_-4 block=E index=23 eigenvalue=[3.54746599111 +/- 4.60e-12] lower_count=22 upper_count=23 certified=1
SPECTRUM object=chi_-4 block=E index=24 eigenvalue=[3.59145841046 +/- 6.82e-12] lower_count=23 upper_count=24 certified=1
SPECTRUM object=chi_-4 block=E index=25 eigenvalue=[3.63359963468 +/- 8.49e-12] lower_count=24 upper_count=25 certified=1
SPECTRUM object=chi_-4 block=E index=26 eigenvalue=[3.67403942276 +/- 8.14e-12] lower_count=25 upper_count=26 certified=1
SPECTRUM object=chi_-4 block=E index=27 eigenvalue=[3.71291008904 +/- 5.59e-12] lower_count=26 upper_count=27 certified=1
SPECTRUM object=chi_-4 block=E index=28 eigenvalue=[3.75032911478 +/- 7.68e-12] lower_count=27 upper_count=28 certified=1
SPECTRUM object=chi_-4 block=E index=29 eigenvalue=[3.78640128901 +/- 6.39e-12] lower_count=28 upper_count=29 certified=1
SPECTRUM object=chi_-4 block=E index=30 eigenvalue=[3.82122047710 +/- 6.02e-12] lower_count=29 upper_count=30 certified=1
SPECTRUM object=chi_-4 block=E index=31 eigenvalue=[3.85487109225 +/- 4.92e-12] lower_count=30 upper_count=31 certified=1
SPECTRUM object=chi_-4 block=E index=32 eigenvalue=[3.88742932796 +/- 7.74e-12] lower_count=31 upper_count=32 certified=1
SPECTRUM object=chi_-4 block=E index=33 eigenvalue=[3.91896419673 +/- 7.44e-12] lower_count=32 upper_count=33 certified=1
SPECTRUM object=chi_-4 block=E index=34 eigenvalue=[3.94953841056 +/- 7.98e-12] lower_count=33 upper_count=34 certified=1
