zst: x = 50 (prime powers <= 50), N = 500, prec = 2100 bits, L = [3.91202300542815 +/- 3.95e-15]
matrix build: 4.29s
minimal even eigenvalue eps_N = [2.161475058e-258 +/- 2.62e-268]  (Rump-certified, 131.45s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (93.12s)
xi_0 = [1.388132192e+127 +/- 4.89e+117], xi_1 = [-1.309002223e+127 +/- 6.40e+116], xi_N = [0.00030039 +/- 1.08e-9]
positive secular roots: 500 certified of N = 500, 0 unresolved  ->  spectrum COMPLETE  (223.47s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
 39   121.3701250024206459189455329704999227230   2.05e-191
 40   122.9468292935525882008174603307700164962   3.65e-190
 41   124.2568185543457671847320079661299244416   9.53e-190
 42   127.5166838795964951242793237669060762681   2.54e-188
 43   129.5787041999560509857680339061799736086   1.11e-186
 44   131.0876885309326567235663724615013490592   8.37e-186
 45   133.4977372029975864501304920426406076650   2.09e-184
 46   134.7565097533738713313260641571697361784   7.27e-184
 47   138.1160420545334432001915551902824478598   4.84e-182
 48   139.7362089521213889504500465233824608468   1.25e-180
 49   141.1237074040211237619403538184753550903   6.16e-180
 50   143.1118458076206327394051238689139299662   2.41e-179
 51   146.0009824867655185474025075964246824290   1.40e-177
 52   147.4227653425596020495211850104315061688   1.19e-176
 53   150.0535204207848803514324672369593706230   1.10e-174
 54   150.9252576122414667618525246783056276024   3.57e-174
 55   153.0246938111988961982565442551854465086   7.55e-174
 56   156.1129092942378675697501893101691947465   7.66e-172
 57   157.5975918175940598875305031584987657307   1.64e-170
 58   158.8499881714204987241749947755402714143   5.46e-170
 59   161.1889641375960275194373441293695543649   3.89e-169
 60   163.0307096871819872433110390006879948970   3.14e-168
 61   165.5370691879004188300389193548747973284   1.13e-166
 62   167.1844399781745134409577562462103787365   1.77e-165
 63   169.0945154155688214895058711814318347967   5.12e-164
 64   169.9119764794116989666998435958217922884   8.71e-164
 65   173.4115365195915529598461186493455952542   2.36e-162
 66   174.7541915233657258133787624558669179388   2.82e-161
 67   176.4414342977104188888926410578609335281   1.86e-160
 68   178.3774077760999772858309354141844261831   1.88e-159
 69   179.9164840202569961393400366120512374537   8.41e-159
 70   182.2070784843664619154070372269877986908   7.25e-158
 71   184.8744678483875088009606466172342584134   2.28e-155
 72   185.5987836777074714665277042683926466129   8.24e-155
 73   187.2289225835018519916415405861312430168   1.18e-154
 74   189.4161586560169370848522890998453244914   5.64e-154
 75   192.0266563607137865472836314255834301058   4.74e-152
 76   193.0797266038457040474022057943760546040   2.33e-151
 77   195.2653966795292353214631878148622509269   2.42e-150
 78   196.8764818409583169486222639146962077357   3.00e-149
 79   198.0153096762519124249199187022088671551   5.78e-149
 80   201.2647519437037887330161334275481732224   2.68e-147
 81   202.4935945141405342776866606378643158210   2.75e-146
 82   204.1896718031045543307164383863136851365   2.51e-145
 83   205.3946972021632860252123793906930909237   5.97e-145
 84   207.9062588878062098615019679077536442687   4.82e-144
 85   209.5765097168562598528356442898867521754   4.37e-143
 86   211.6908625953653075639074867307192942534   8.65e-142
 87   213.3479193597126661906391220210726088219   1.60e-140
 88   214.5470447834914232229442010725906910456   6.01e-140
 89   216.1695385082637002658695633544981285755   1.05e-139
 90   219.0675963490213789856772565904372412451   3.84e-138
 91   220.7149188393140033691155926339063396568   2.14e-136
 92   221.4307055546933387320974751192760779502   4.16e-136
 93   224.0070002546043352117288755285048953561   3.30e-135
 94   224.9833246695822875037825236805286567721   8.82e-135
 95   227.4214442796792913104614361606596399640   4.94e-134
 96   229.3374133055253481077600833060557400828   9.04e-133
 97   231.2501887004991647738061867700103726067   5.39e-131
 98   231.9872352531802486037716685391978622054   1.30e-130
 99   233.6934041789083006407044947325697881795   1.10e-130
100   236.5242296658162058024755079556629786895   3.50e-129
101   237.7698204809252040032366259263871077942   2.75e-128
102   239.5554775733276287402689320343344924817   2.24e-127
103   241.0491577962165864128379214103356705496   1.25e-126
104   242.8232719342226000168264744588785499539   9.02e-126
105   244.0708984970781582368165279898445013471   1.97e-125
106   247.1369900748974994675509681792081322679   1.51e-123
107   248.1019900601484592567621420846569973558   1.02e-122
108   249.5736896447072091923297941887399703426   3.57e-122
109   251.0149477950160011429541551037080481523   8.27e-122
110   253.0699867479994771945990137856180909301   3.41e-121
111   255.3062564549140227530864917940014231579   1.19e-119
112   256.3807136944344777893583823397295308712   4.88e-119
113   258.6104394915313682089830586447591316322   7.66e-118
114   259.8744069896780003506728446138765926662   7.35e-117
115   260.8050845045968701859312334724645480349   9.06e-117
116   263.5738939048701322330815881310233031703   3.88e-116
117   265.5578518388763202924773089641849146410   2.05e-114
118   266.6149737815010724957201129738679118066   1.21e-113
119   267.9219150828240594403789671721856183743   2.25e-113
120   269.9704490239976025946935053188984796629   1.02e-112
121   271.4940556416449990181794167575228506935   4.60e-112
122   273.4596091884032870457142502988017729228   3.14e-111
123   275.5874926493438412487407026193777848264   1.77e-109
124   276.4520495031329386798873436383992419481   6.21e-109
125   278.2507435298419544927482767113162589261   2.75e-108
126   279.2292509277451892284098804519553592835   3.92e-108
127   282.4651147650520962330272011865010242055   2.30e-106
128   283.2111857332338674204938379433289382985   8.98e-106
129   284.8359639809047241331576339226962164631   2.01e-105
130   286.6674453630028842928476241464149393439   1.68e-104
131   287.9119205014221871552541202718675103855   5.68e-104
132   289.5798549292188341527380235693523438897   1.24e-103
133   291.8462913290673958355130544246385118828   1.49e-102
134   293.5584341393562853567766971060350773438   3.30e-101
